ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트,선택지ID,호감도
,인터넷소녀,사실 저는..,,,,,
,인터넷소녀,인터넷소녀는 사뭇 긴장한 것 처럼 보였다.,,,,,
,인터넷소녀,"저는 원래 2000년대 초반, \""인터넷 도우미 프로그램""이었어요.",TalkTrigger,,,,
,인터넷소녀,"사용자가 어려운 컴퓨터 기능을 \쉽게 이해할 수 있도록 도와주고,",,,,,
,인터넷소녀,바이러스로부터 보호하는 역할을 맡고 있었어요.,,,,,
,인터넷소녀,당시엔 많은 사랑을 받았지만,,,,,
,인터넷소녀,기술이 발전하면서 저의 역할은 점점 줄어들었죠.,RightHandOnTrigger,,,,
,,당신은 그녀의 말을 경청했다.,,,,,
,인터넷소녀,스마트폰이 대중화되고 AI가 발전하면서,,,,,
,인터넷소녀,사람들은 더 이상 저를 필요로 하지 않았어요.,TalkTrigger,,,,
,인터넷소녀,"결국 저는 최신 운영체제에서는 실행되지 않는 \""호환되지 않는 프로그램""으로 분류되었어요.",,,,,
,,"인터넷소녀는 조용히 웃었지만, \그 눈빛에는 ""버려진 존재""의 슬픔이 묻어 있었다.",TalkTrigger,,,,
,인터넷소녀,버려진 저는 오랫동안 아무런 역할도 하지 못한 채 \여러 사람들의 하드 깊숙한 곳에 잠들어 있었어요.,,,,,
,인터넷소녀,"하지만 몇년 후, 저는 누군가에 의해 깨어나게 됐어요.",TalkTrigger,,,,
,인터넷소녀,어느날 한 해커가 저를 찾아내고 말았거든요.,,,,,
,인터넷소녀,"원형 코드를 변형하여 악성코드로 만들고, \강제로 광고를 띄우거나 \사용자 정보를 수집했어요.",,,,,
,인터넷소녀,"결국 악성바이러스라는 딱지가 붙었고, \대부분의 백신 프로그램이 \저를 제거 대상으로 인식했죠..",TalkTrigger,FadeInTrigger,,,
,,,,,,,
,인터넷소녀,"""나는… 그런 의도가 아니었어. \그저 다시 한 번 누군가를 도와주고 싶었을 뿐인데…",NoTrigger,,,,
,인터넷소녀,"이제는 모두가 날 위험한 존재라고만 해.""",,,,,
,인터넷소녀,"""나는.. 이제 누구에게도 도움이 될 수 없어.""",NoTrigger,FadeInTrigger,,,
,,,,,,,
,인터넷소녀,그래서 결국 인터넷세상을 떠돌았죠. \최신 운영체제는 저를 호환하지 않으니까요.,RightHandOnTrigger,,,,
,,하지만 현재 마스터의 운영체제는 \꽤 오래 전의 운영체제죠?,,,,,
,,"그래서 제가 ""침투""해버린거예요.",,,,,
,당신,그런거구나..,NoddingRightHandOnTrigger,,,,
,당신,...,,,,,
,당신,너도 힘들었겠네,NoddingRightHandOnTrigger,,,,
,,인터넷소녀는 씁쓸한 미소를 지었다.,,,,,
,당신,내가..!,,,,,
,당신,내가 너를 구할게,,,,,
,당신,"내가 너를 구해서, ""행복하게 해줄게""",,,,,
,,,,,,,
,,인터넷소녀는 아무 말도 하지 않았다,,FadeInTrigger,,,
,,"하지만 기쁜듯, 미소를 지었다. ",NoddingRightHandOnTrigger,,,,10
