ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트,선택지ID,호감도
1,인터넷소녀,마스터...?,,FadeInTrigger,,,
2,인터넷소녀,아니예요! 저희 같이 힘을 합쳐봐요!!,NoddingRightHandOnTrigger,,,,
3,인터넷소녀,믿어보겠습니다! 마스터를요!,NoddingRightHandOnTrigger,,,,
,,둘은 열정적으로 게임에 임하기 시작했다.,,,,,
,,당신은 어딘가 자신감이 붙었다.,,,,,
4,당신,(잘 못하면 어떡하지.. 처음해보는건데...),,,,,
,,"인터넷소녀의 지휘 하에, 게임은 순조로웠다. \당신은 열심이었다. ",TalkTrigger,,,,
,,- GameClear -,,,,,
5,함께,와!!!!,,,,,
6,인터넷소녀,마스터 대단해요! \저희가 해냈어요!,SmileTrigger,,,,
7,인터넷소녀,저희 정말 좋은 팀워크였어요!,,,,,
8,인터넷소녀,마스터 덕분이예요! ,NoddingRightHandOnTrigger,,,,
,,인터넷소녀는 얼굴을 붉혔다.,,,,,
9,인터넷소녀,"(왜, 왜이러지...)",,,,,
10,당신,너랑 같이 하니까 너무 재밌다,TalkTrigger,,,,
11,인터넷소녀,그럼..,RightHandOnTrigger,,,,
,,"인터넷소녀는 침을 꼴깍, 삼켰다.",,,,,
12,인터넷소녀,저희 다음에도 같이 게임해요..,TalkTrigger,,,,
13,당신,응! 좋아!,,,,,
,,인터넷소녀는 밝게 웃었다.,TalkTrigger,,,,10
