ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트,선택지ID,호감도
1,인터넷소녀,마스터...?,,FadeInTrigger,,,
2,인터넷소녀,네! 한번 해보자구요!,NoddingRightHandOnTrigger,,,,
3,인터넷소녀,믿어보겠습니다! 마스터를요!,NoddingRightHandOnTrigger,,,,
,,둘은 열정적으로 게임에 임하기 시작했다.,,,,,
,,당신은 어딘가 긴장한 것 같다.,,,,,
4,당신,(잘 못하면 어떡하지.. 처음해보는건데...),,,,,
,,게임은 순조롭게 진행될리가 없다.,,,,,
5,인터넷소녀,으음… 저 혼자 다 해버리는 느낌인데… 같이 하는 재미가 없어요…,NoTrigger,,,,
6,당신,너가 너무 잘하는거라고는 생각안해?,,,,,
7,당신,프로그램이랑 인간이랑 붙을 수 있을리가 없잖아! ,,,,,
,,그순간 짧은 정적이 흘렀다.,,,,,
8,인터넷소녀,마스터...,RightHandOnTrigger,,,,
9,인터넷소녀,조금.. 무서워요,,,,,
10,당신,"미, 미안",,,,,
,,당신은 금방 사과했다.,,,,,
11,당신,미안해... 다음번엔 연습해올게,,,,,
12,인터넷소녀,하하.. 아니예요 \같이 하자고한 제가 잘못인 것 같아요.,NoTrigger,,,,
13,인터넷소녀,죄송해요 마스터.,TalkTrigger,,,,
14,당신,"그, 그게 아니라..! ",,,,,
,,인터넷소녀는 말없이 자료를 찾던 창을 띄워주며 \논문에 다시 임하라는 무언의 사인을 보냈다.,TalkTrigger,,,,-10
