ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트
,,당신은 열심히 논문을 작성한다.,,,
1,당신,...,,,
,,조금 지친 모양이다.,,,
2,인터넷소녀,"마스터, 혹시 무슨 일이 있으신가요?",TalkTrigger,,
3,당신,"아니야, 조금 지친 것 뿐.",,,
4,당신,논문이라는거 정말 질린다..,,,
,,인터넷소녀는 당신을 빤히 바라본다.,RightHandOnTrigger,,
5,인터넷소녀,좋아!,NoddingRightHandOnTrigger,,
6,당신,응...?,,,
7,인터넷소녀,저희 게임해요!,,,
8,당신,무슨 게임...?,,,
9,인터넷소녀,"제 내장 프로그램에 2인용 게임이 있어요! \저랑 같이 게임하고, 스트레스를 날려버리자구요!!",TalkTrigger,,
,,인터넷소녀는 신이 난것같았다.,,,
,,당신은 고민한다,,,
10,당신,(아직 자료조사할 것이 너무 많이 남았는데...),TalkTrigger,,
11,당신,(근데 너무 힘들어...),,,
12,당신,(잠깐은 괜찮겠지...),,,
13,당신,좋아! 하자!!! \덤벼!!,,,
14,인터넷소녀,좋아요!!! 바로 시작할게요!,SmileTrigger,,
,,,,,Event2
