ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트,선택지ID,호감도
,인터넷소녀,앗..! 죄송해요,NoTrigger,,,,
,인터넷소녀,제가 실수했어요 마스터.,,,,,
,인터넷소녀,정말 죄송해요.,,,,,
,인터넷소녀,다시 말씀해주세요.,NoTrigger,,,,
,,인터넷소녀는 울것같은 얼굴을 \간신히 숨겨 웃음을 지었다.,,,,,
,인터넷소녀,다시 열심히 할게요.,TalkTrigger,,,,
,인터넷소녀,저 버리지만 말아주세요.,TalkTrigger,,,,
,,"인터넷소녀는 \""버려지는것""에 대한 두려움이 있는 듯 보였다.",,,,,
,당신,그런거라면 걱정하지 않아도 돼.,,,,,
,당신,"나는 그냥 너가 컴퓨터에 침투했을 뿐이고, \너를 이용할 수 있다길래 \최대한 이용하고싶은 것 뿐이다.",,,,,
,당신,그 이상 이하도 아니니까 \그런 얘기는 안해도돼,,,,,
,당신,어찌되든 상관없는거니까.,,,,,
,,인터넷소녀는 화면너머를 멍하니 바라보았다.,,,,,
,인터넷소녀,네..,,,,,
,인터넷소녀,감사해요..,TalkTrigger,,,,-10
