ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트,선택지ID,호감도
1,인터넷소녀,마스터는 할 수 있어요!,TalkTrigger,,,,
2,인터넷소녀,당신을 믿어보세요!,SmileTrigger,,,,
3,당신,"아…아니, 무슨 버튼을 눌러야 해? 뭐든 해볼게!",,,,,
4,인터넷소녀,빨리요!! 시간이 없어요!!,,,,,
,,하지만 당신은 컴퓨터를 제대로 다룰 줄 몰랐다.,,,,,
,,"소위 말하는 ""컴맹""이었다.",,,,,
,,"당신은 엉뚱한 프로그램을 실행시키거나, \잘못된 명령어를 입력하며",,,,,
,,시간을 낭비했다.,,,,,
,,"그 틈을 노려, 멀웨어X는 \인터넷소녀의 코드를 침범했다.",,FadeInTrigger,,,
5,인터넷소녀,[인터넷소녀.exe 감염 진행 중…],,,,,
6,인터넷소녀,[기능 오류 발생],,,,,
7,인터넷소녀,[인터넷소녀의 심각한 데이터 손상],,,,,
8,인터넷소녀,아… 안 돼…!,NoTrigger,,,,
,,인터넷소녀는 힘없이 주저앉았다.,,,,,
,,,,FadeInTrigger,,,
,,"그녀의 모습이 흐릿해졌고, 말투도 느려졌다.",,,,,
9,인터넷소녀,내…데이터가… 망가졌어…,NoTrigger,,,,
10,인터넷소녀,이제… 내 일부 기능이… \제대로 작동하지 않을 거야…,TalkTrigger,,,,
11,인터넷소녀,아니… 작동할 수나 있는걸까…?,,,,,
,,,,FadeInTrigger,,,
12,멀웨어X,크크크…,,,,,
13,멀웨어X,"결국 무력했군, 너의 주인은.",,,,,
14,멀웨어X,"지금은 인터넷소녀 뿐이지만,",,,,,
15,멀웨어X,이 컴퓨터는 조만간 내 것이 될 거다,,,,,
,,인터넷소녀는 고통스러워하며 힘겹게 말을 이었다.,,,,,
16,인터넷소녀,이제… 나는…,NoTrigger,,,,
17,인터넷소녀,가벼운 프로그램 하나도... \실행할 수 없을지도 몰라...,,,,,
,,"당신은 힘겹게 숨을 고르는 인터넷소녀를 보고, \죄책감을 느꼈다.",,,,,
,,인터넷소녀를 지켜주지 못했다.,,,,,
,,"이제 그녀는느려지고, 버벅이며, \오류가 많은 상태가 되어버렸다.",NoTrigger,,,,
,,"그녀의 상태 악화로, \당신의 컴퓨터는 인터넷서핑 하나도 \제대로 할 수없게 되었다.",,,,,
,,,,,,,
,,"인터넷소녀 상태 악화 \(기능 제한, 속도 저하, 심각한 오류 발생)",NoTrigger,,,,-10
